run_id,dataset_id,method_id,noise_condition_id,noise_sigma,replication_id,perturbation_seed,data_seed,status,scientific_evidence_eligible,primary_stability_eligible,bottleneck_distance,wasserstein_distance,coverage_fraction,n_nodes,n_edges,n_components,beta_0_graph,beta_1_graph,beta_0_nerve,beta_1_nerve,wall_time_seconds,cpu_time_seconds
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep25__99f2d68bec404874,swiss_roll_with_hole,conventional,sigma_0.01,0.01,25,54646633.0,42,success,True,True,0.6182658482150103,1.4157220332099447,0.9553770638107988,145.0,63.0,82.0,82.0,0.0,82.0,0.0,0.032171696999284904,0.032169989000010446
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep25__1db8716314afcd12,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,25,54646633.0,42,success,True,True,0.32047904893302714,0.97731547725349,0.9553770638107988,127.0,45.0,82.0,82.0,0.0,82.0,0.0,5.30879671799994,5.30803644400001
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep26__47249aaa8b99f9b5,swiss_roll_with_hole,conventional,sigma_0.01,0.01,26,1162695728.0,42,success,True,True,0.3879106662313969,1.3441512371996698,0.9571619812583668,136.0,60.0,76.0,76.0,0.0,76.0,0.0,0.032613155999570154,0.03260316300000454
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep26__a0e62d8888047c62,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,26,1162695728.0,42,success,True,True,0.44342829039671194,1.118398729445643,0.9571619812583668,121.0,45.0,76.0,76.0,0.0,76.0,0.0,5.145079015000192,5.14426856
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep27__ee435a1ba80e8a65,swiss_roll_with_hole,conventional,sigma_0.01,0.01,27,1400507401.0,42,success,True,True,0.6172310994736563,1.7634330970220011,0.9549308344489067,144.0,62.0,82.0,82.0,0.0,82.0,0.0,0.029148892000193882,0.029152453000023115
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep27__664beacfa3d4df14,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,27,1400507401.0,42,success,True,True,0.3257980429492058,0.9367651156085399,0.9549308344489067,129.0,47.0,82.0,82.0,0.0,82.0,0.0,5.190118083000016,5.188724585999978
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep28__25d26c6e42e8ea7a,swiss_roll_with_hole,conventional,sigma_0.01,0.01,28,770966174.0,42,success,True,True,0.2557102261369195,1.1300491728541928,0.9535921463632308,143.0,61.0,82.0,82.0,0.0,82.0,0.0,0.03072599499955686,0.03072460499998897
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep28__09760577ba3d20ac,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,28,770966174.0,42,success,True,True,0.6416889284852378,1.5952304632981833,0.9535921463632308,132.0,50.0,82.0,82.0,0.0,82.0,0.0,5.257698306000748,5.256976036999987
M6A2__swiss_roll_with_hole__conventional__sigma_0.01__rep29__924d9e5a7649d243,swiss_roll_with_hole,conventional,sigma_0.01,0.01,29,1957779489.0,42,success,True,True,0.3892192710980389,1.652325145213422,0.9562695225345827,142.0,61.0,81.0,81.0,0.0,81.0,0.0,0.032358746000682004,0.03235497700001133
M6A2__swiss_roll_with_hole__f_mapper__sigma_0.01__rep29__ea81b8de877062de,swiss_roll_with_hole,f_mapper,sigma_0.01,0.01,29,1957779489.0,42,success,True,True,0.4473108650390287,1.2651195002482458,0.9562695225345827,124.0,43.0,81.0,81.0,0.0,81.0,0.0,5.208050019999973,5.207246506999979
